anio,mes,dia,hora(utc),altura(mm)
2016,5,15,11,140 
2016,5,15,12,328 
2016,5,15,13,546 
2016,5,15,14,739 
2016,5,15,15,862 
2016,5,15,16,887 
2016,5,15,17,811 
2016,5,15,18,658 
2016,5,15,19,467 
2016,5,15,20,287 
2016,5,15,21,163 
2016,5,15,22,126 
2016,5,15,23,183 
2016,5,16,0,321 
2016,5,16,1,502 
2016,5,16,2,678 
2016,5,16,3,804 
2016,5,16,4,850 
2016,5,16,5,801 
2016,5,16,6,667 
2016,5,16,7,482 
2016,5,16,8,291 
2016,5,16,9,141 
2016,5,16,10,67 
2016,5,16,11,91 
2016,5,16,12,206 
2016,5,16,13,385 
2016,5,16,14,585 
2016,5,16,15,758 
2016,5,16,16,863 
2016,5,16,17,878 
2016,5,16,18,801 
2016,5,16,19,654 
2016,5,16,20,475 
2016,5,16,21,310 
2016,5,16,22,199 
2016,5,16,23,167 
2016,5,17,0,219 
2016,5,17,1,339 
2016,5,17,2,496 
2016,5,17,3,647 
2016,5,17,4,753 
2016,5,17,5,788 
2016,5,17,6,737 
2016,5,17,7,613 
2016,5,17,8,447 
2016,5,17,9,280 
2016,5,17,10,154 
2016,5,17,11,102 
2016,5,17,12,139 
2016,5,17,13,258 
2016,5,17,14,433 
2016,5,17,15,623 
2016,5,17,16,783 
2016,5,17,17,877 
2016,5,17,18,883 
2016,5,17,19,801 
2016,5,17,20,654 
2016,5,17,21,481 
2016,5,17,22,323 
2016,5,17,23,217 
2016,5,18,0,185 
2016,5,18,1,231 
2016,5,18,2,340 
2016,5,18,3,483 
2016,5,18,4,620 
2016,5,18,5,716 
2016,5,18,6,744 
2016,5,18,7,693 
2016,5,18,8,574 
2016,5,18,9,421 
2016,5,18,10,270 
2016,5,18,11,161 
2016,5,18,12,124 
2016,5,18,13,174 
2016,5,18,14,301 
2016,5,18,15,478 
2016,5,18,16,665 
2016,5,18,17,818 
2016,5,18,18,903 
2016,5,18,19,897 
2016,5,18,20,805 
2016,5,18,21,652 
2016,5,18,22,477 
2016,5,18,23,318 
2016,5,19,0,212 
2016,5,19,1,180 
2016,5,19,2,225 
2016,5,19,3,332 
2016,5,19,4,472 
2016,5,19,5,605 
2016,5,19,6,696 
2016,5,19,7,719 
2016,5,19,8,663 
2016,5,19,9,544 
2016,5,19,10,396 
2016,5,19,11,253 
2016,5,19,12,155 
2016,5,19,13,134 
2016,5,19,14,200 
2016,5,19,15,341 
2016,5,19,16,526 
2016,5,19,17,716 
2016,5,19,18,864 
2016,5,19,19,936 
2016,5,19,20,914 
2016,5,19,21,806 
2016,5,19,22,641 
2016,5,19,23,456 
2016,5,20,0,291 
2016,5,20,1,185 
2016,5,20,2,158 
2016,5,20,3,212 
2016,5,20,4,328 
2016,5,20,5,472 
2016,5,20,6,607 
2016,5,20,7,694 
2016,5,20,8,706 
2016,5,20,9,640 
2016,5,20,10,516 
2016,5,20,11,364 
2016,5,20,12,224 
2016,5,20,13,137 
2016,5,20,14,135 
2016,5,20,15,224 
2016,5,20,16,384 
2016,5,20,17,583 
2016,5,20,18,776 
2016,5,20,19,917 
2016,5,20,20,971 
2016,5,20,21,926 
2016,5,20,22,796 
2016,5,20,23,612 
2016,5,21,0,413 
2016,5,21,1,243 
2016,5,21,2,143 
2016,5,21,3,132 
2016,5,21,4,204 
2016,5,21,5,336 
2016,5,21,6,491 
2016,5,21,7,627 
2016,5,21,8,705 
2016,5,21,9,701 
2016,5,21,10,619 
2016,5,21,11,481 
2016,5,21,12,321 
2016,5,21,13,182 
2016,5,21,14,111 
2016,5,21,15,136 
2016,5,21,16,253 
2016,5,21,17,436 
2016,5,21,18,650 
2016,5,21,19,845 
2016,5,21,20,972 
2016,5,21,21,1000 
2016,5,21,22,926 
2016,5,21,23,769 
2016,5,22,0,561 
2016,5,22,1,347 
2016,5,22,2,180 
2016,5,22,3,98 
2016,5,22,4,113 
2016,5,22,5,211 
2016,5,22,6,364 
2016,5,22,7,530 
2016,5,22,8,664 
2016,5,22,9,725 
2016,5,22,10,698 
2016,5,22,11,593 
2016,5,22,12,436 
2016,5,22,13,266 
2016,5,22,14,134 
2016,5,22,15,87 
2016,5,22,16,144 
2016,5,22,17,292 
2016,5,22,18,501 
2016,5,22,19,727 
2016,5,22,20,916 
2016,5,22,21,1021 
2016,5,22,22,1018 
2016,5,22,23,910 
2016,5,23,0,720 
2016,5,23,1,487 
2016,5,23,2,266 
2016,5,23,3,113 
2016,5,23,4,60 
2016,5,23,5,108 
2016,5,23,6,238 
2016,5,23,7,413 
2016,5,23,8,587 
2016,5,23,9,710 
2016,5,23,10,747 
2016,5,23,11,692 
