775,10.2
774,10.8
767,10.1
753,8.8
717,6.4
713,6.2
700,5.4
688,5.4
686,5.4
663,3.8
650,2.8
643,2
637,2
615,-0.6
611,-1.1
608,0
585,-0.9
582,-1.1
572,2.2
570,2.1
512,-2.1
500,-3.5
491,-4.5
435,-11.1
400,-16.5
382,-19.7
358,-22.5
343,-24.3
300,-32.1
272,-37.7
266,-38.9
254,-41.3
250,-42.1
243,-42.5
234,-43.1
233,-43.4
223,-46
213,-48.7
203,-51.6
200,-52.5
194,-54.1
185,-56.5
176,-58.5
168,-60.4
150,-64.9
145,-66
125,-70.6
119,-72.1
107,-75.4
100,-77.5
97,-78.2
92,-79.3
87,-80.5
83,-81.5
82.2,-81.7
78,-80.9
74,-80.1
70,-80.5
67.2,-82.3
67,-82.2
63,-81.1
60,-80.2
59.8,-80.1
57.5,-75.7
57,-75.5
54,-74.1
51,-72.6
50,-72.1
49,-72.6
47,-73.7
46,-73.2
44,-72.2
42,-71.2
40.1,-70.1
40,-69.9
38,-66.5
36.5,-63.9
36,-63.6
30,-60.1
28,-59.1
27,-58.6
25,-57.5
23,-56.3
22,-55.7
21.7,-55.5
21,-54.6
20,-53.3
19.1,-53.7
17,-48.3
16.5,-46.9
15.8,-45.5
14,-48.6
13,-50.5
12.2,-51.1
12,-50.4
11,-46.4
10.6,-44.7
