2016,5,1,0,580 
2016,5,1,1,787 
2016,5,1,2,919 
2016,5,1,3,945 
2016,5,1,4,860 
2016,5,1,5,685 
2016,5,1,6,461 
2016,5,1,7,243 
2016,5,1,8,82 
2016,5,1,9,14 
2016,5,1,10,55 
2016,5,1,11,192 
2016,5,1,12,387 
2016,5,1,13,590 
2016,5,1,14,749 
2016,5,1,15,826 
2016,5,1,16,804 
2016,5,1,17,689 
2016,5,1,18,510 
2016,5,1,19,314 
2016,5,1,20,150 
2016,5,1,21,61 
2016,5,1,22,76 
2016,5,1,23,193 
2016,5,2,0,384 
2016,5,2,1,601 
2016,5,2,2,789 
2016,5,2,3,901 
2016,5,2,4,909 
2016,5,2,5,812 
2016,5,2,6,632 
2016,5,2,7,412 
2016,5,2,8,207 
2016,5,2,9,66 
2016,5,2,10,20 
2016,5,2,11,82 
2016,5,2,12,237 
2016,5,2,13,443 
2016,5,2,14,651 
2016,5,2,15,810 
2016,5,2,16,882 
2016,5,2,17,852 
2016,5,2,18,727 
2016,5,2,19,538 
2016,5,2,20,334 
2016,5,2,21,164 
2016,5,2,22,73 
2016,5,2,23,86 
2016,5,3,0,200 
2016,5,3,1,386 
2016,5,3,2,595 
2016,5,3,3,775 
2016,5,3,4,878 
2016,5,3,5,879 
2016,5,3,6,776 
2016,5,3,7,592 
2016,5,3,8,374 
2016,5,3,9,177 
2016,5,3,10,46 
2016,5,3,11,13 
2016,5,3,12,92 
2016,5,3,13,264 
2016,5,3,14,488 
2016,5,3,15,711 
2016,5,3,16,880 
2016,5,3,17,958 
2016,5,3,18,926 
2016,5,3,19,790 
2016,5,3,20,585 
2016,5,3,21,363 
2016,5,3,22,177 
2016,5,3,23,71 
2016,5,4,0,72 
2016,5,4,1,178 
2016,5,4,2,361 
2016,5,4,3,572 
2016,5,4,4,754 
2016,5,4,5,860 
2016,5,4,6,862 
2016,5,4,7,757 
2016,5,4,8,568 
2016,5,4,9,346 
2016,5,4,10,146 
2016,5,4,11,15 
2016,5,4,12,-12 
2016,5,4,13,81 
2016,5,4,14,274 
2016,5,4,15,523 
2016,5,4,16,771 
2016,5,4,17,961 
2016,5,4,18,1050 
